[02:01:56] [INFO ] Mod init started — noitarl v0.2
[02:01:56] [INFO ] Port: 5001
[02:02:04] [INFO ] Connecting → ws://localhost:5001
[02:02:04] [INFO ] Ep 0 ended  steps=1  pos=(227,-79)  vhp=-9992.000
[02:02:04] [INFO ] Ep 1 started — spawn (400, 50)
[02:02:06] [INFO ] DIAG ep=1 step=29 pos=(395,52) vel=(-36.8,60.0) vhp=4.00 gnd=true act=LEFT fps=60
[02:02:11] [INFO ] DIAG ep=1 step=104 pos=(400,33) vel=(-5.7,-145.2) vhp=4.00 gnd=false act=LEFT fps=60
[02:02:16] [INFO ] DIAG ep=1 step=179 pos=(403,122) vel=(30.6,60.0) vhp=4.00 gnd=true act=RIGHT fps=60
[02:02:21] [INFO ] DIAG ep=1 step=254 pos=(409,73) vel=(6.7,-123.2) vhp=4.00 gnd=false act=RIGHT fps=60
[02:02:26] [INFO ] DIAG ep=1 step=329 pos=(403,73) vel=(-6.2,0.0) vhp=4.00 gnd=false act=LEFT fps=60
[02:02:31] [INFO ] DIAG ep=1 step=404 pos=(412,66) vel=(4.9,-99.8) vhp=4.00 gnd=false act=RIGHT fps=60
[02:02:36] [INFO ] DIAG ep=1 step=479 pos=(424,108) vel=(27.8,60.0) vhp=4.00 gnd=true act=RIGHT fps=60
[02:02:41] [INFO ] DIAG ep=1 step=554 pos=(424,92) vel=(1.2,227.5) vhp=4.00 gnd=false act=FIRE fps=60
[02:02:46] [INFO ] DIAG ep=1 step=629 pos=(430,102) vel=(24.2,60.0) vhp=4.00 gnd=true act=RIGHT fps=59
[02:02:52] [INFO ] DIAG ep=1 step=704 pos=(452,48) vel=(6.7,-123.2) vhp=4.00 gnd=false act=RIGHT fps=60
[02:02:57] [INFO ] DIAG ep=1 step=779 pos=(441,68) vel=(-4.1,-121.8) vhp=4.00 gnd=false act=FIRE fps=60
[02:03:02] [INFO ] DIAG ep=1 step=854 pos=(440,36) vel=(-1.9,-112.5) vhp=4.00 gnd=false act=JUMP fps=60
[02:03:07] [INFO ] DIAG ep=1 step=929 pos=(436,59) vel=(8.2,-75.2) vhp=4.00 gnd=false act=RIGHT fps=60
[02:03:12] [INFO ] DIAG ep=1 step=1004 pos=(440,94) vel=(3.9,60.0) vhp=4.00 gnd=true act=IDLE fps=60
[02:03:17] [INFO ] DIAG ep=1 step=1079 pos=(449,52) vel=(0.2,-51.8) vhp=4.00 gnd=false act=LEFT fps=60
[02:03:22] [INFO ] DIAG ep=1 step=1154 pos=(443,76) vel=(4.3,129.5) vhp=4.00 gnd=false act=IDLE fps=60
[02:03:27] [INFO ] DIAG ep=1 step=1229 pos=(440,63) vel=(-2.5,105.8) vhp=4.00 gnd=false act=JUMP fps=60
[02:03:32] [INFO ] DIAG ep=1 step=1304 pos=(438,68) vel=(-2.3,-121.8) vhp=4.00 gnd=false act=IDLE fps=58
[02:03:38] [INFO ] DIAG ep=1 step=1379 pos=(438,44) vel=(0.0,-53.2) vhp=4.00 gnd=false act=FIRE fps=54
[02:03:43] [INFO ] DIAG ep=1 step=1454 pos=(440,94) vel=(-0.2,60.0) vhp=4.00 gnd=true act=FIRE fps=60
[02:03:48] [INFO ] DIAG ep=1 step=1529 pos=(444,95) vel=(-24.2,60.0) vhp=4.00 gnd=true act=LEFT fps=55
[02:03:53] [INFO ] DIAG ep=1 step=1604 pos=(448,77) vel=(0.9,94.7) vhp=4.00 gnd=false act=JUMP fps=60
[02:03:58] [INFO ] DIAG ep=1 step=1679 pos=(440,65) vel=(2.7,93.0) vhp=4.00 gnd=false act=FIRE fps=60
[02:04:03] [INFO ] DIAG ep=1 step=1754 pos=(430,43) vel=(-5.9,86.8) vhp=4.00 gnd=false act=LEFT fps=60
[02:04:08] [INFO ] DIAG ep=1 step=1829 pos=(435,98) vel=(0.0,60.0) vhp=4.00 gnd=true act=IDLE fps=60
[02:04:13] [INFO ] DIAG ep=1 step=1904 pos=(433,52) vel=(-4.4,-117.0) vhp=4.00 gnd=false act=FIRE fps=59
[02:04:19] [INFO ] DIAG ep=1 step=1979 pos=(445,78) vel=(-0.1,115.8) vhp=4.00 gnd=false act=IDLE fps=60
[02:04:24] [INFO ] DIAG ep=1 step=2054 pos=(444,62) vel=(-0.0,-72.5) vhp=4.00 gnd=false act=JUMP fps=60
[02:04:29] [INFO ] DIAG ep=1 step=2129 pos=(437,17) vel=(0.3,-26.3) vhp=4.00 gnd=false act=FIRE fps=58
[02:04:34] [INFO ] DIAG ep=1 step=2204 pos=(436,95) vel=(2.2,132.2) vhp=4.00 gnd=false act=FIRE fps=55
[02:04:39] [INFO ] DIAG ep=1 step=2279 pos=(445,50) vel=(4.9,-87.8) vhp=4.00 gnd=false act=JUMP fps=60
[02:04:44] [INFO ] DIAG ep=1 step=2354 pos=(447,47) vel=(-0.0,-6.5) vhp=4.00 gnd=false act=FIRE fps=60
[02:04:50] [INFO ] DIAG ep=1 step=2429 pos=(441,55) vel=(6.5,-75.2) vhp=4.00 gnd=false act=RIGHT fps=60
[02:04:55] [INFO ] DIAG ep=1 step=2504 pos=(438,32) vel=(0.2,4.5) vhp=4.00 gnd=false act=IDLE fps=60
[02:05:00] [INFO ] DIAG ep=1 step=2579 pos=(442,94) vel=(8.0,60.0) vhp=4.00 gnd=true act=RIGHT fps=60
[02:05:05] [INFO ] DIAG ep=1 step=2654 pos=(461,95) vel=(12.3,-156.5) vhp=4.00 gnd=false act=JUMP fps=60
[02:05:10] [INFO ] DIAG ep=1 step=2729 pos=(456,57) vel=(-0.1,-22.3) vhp=4.00 gnd=false act=FIRE fps=60
[02:05:15] [INFO ] DIAG ep=1 step=2804 pos=(468,56) vel=(0.3,56.0) vhp=4.00 gnd=false act=IDLE fps=60
[02:05:20] [INFO ] DIAG ep=1 step=2879 pos=(476,98) vel=(11.1,-145.2) vhp=4.00 gnd=false act=RIGHT fps=60
[02:05:25] [INFO ] DIAG ep=1 step=2954 pos=(481,69) vel=(-3.8,-93.7) vhp=4.00 gnd=false act=LEFT fps=60
[02:05:30] [INFO ] DIAG ep=1 step=3029 pos=(481,122) vel=(-0.1,60.0) vhp=4.00 gnd=true act=FIRE fps=60
[02:05:36] [INFO ] DIAG ep=1 step=3104 pos=(486,111) vel=(0.4,185.5) vhp=4.00 gnd=false act=JUMP fps=60
[02:05:41] [INFO ] DIAG ep=1 step=3179 pos=(490,37) vel=(1.7,-67.2) vhp=4.00 gnd=false act=JUMP fps=59
[02:05:46] [INFO ] DIAG ep=1 step=3254 pos=(488,122) vel=(-7.0,60.0) vhp=4.00 gnd=true act=FIRE fps=60
[02:05:51] [INFO ] DIAG ep=1 step=3329 pos=(477,49) vel=(-2.3,15.5) vhp=4.00 gnd=false act=LEFT fps=60
[02:05:56] [INFO ] DIAG ep=1 step=3404 pos=(481,65) vel=(7.0,-99.8) vhp=4.00 gnd=false act=RIGHT fps=59
[02:06:01] [INFO ] DIAG ep=1 step=3479 pos=(482,34) vel=(-0.7,-54.5) vhp=4.00 gnd=false act=IDLE fps=60
[02:06:06] [INFO ] DIAG ep=1 step=3554 pos=(479,64) vel=(0.6,115.0) vhp=4.00 gnd=false act=RIGHT fps=60
[02:06:11] [INFO ] DIAG ep=1 step=3629 pos=(492,30) vel=(5.3,35.0) vhp=4.00 gnd=false act=IDLE fps=60
[02:06:16] [INFO ] DIAG ep=1 step=3704 pos=(491,30) vel=(-4.3,-51.8) vhp=4.00 gnd=false act=FIRE fps=60
[02:06:22] [INFO ] DIAG ep=1 step=3779 pos=(485,122) vel=(-24.5,60.0) vhp=4.00 gnd=true act=LEFT fps=60
[02:06:27] [INFO ] DIAG ep=1 step=3854 pos=(488,83) vel=(-4.1,107.5) vhp=4.00 gnd=false act=FIRE fps=60
[02:06:32] [INFO ] DIAG ep=1 step=3929 pos=(481,122) vel=(4.8,60.0) vhp=4.00 gnd=true act=FIRE fps=60
[02:06:37] [INFO ] DIAG ep=1 step=4004 pos=(479,77) vel=(-0.0,10.7) vhp=4.00 gnd=false act=FIRE fps=60
[02:06:42] [INFO ] DIAG ep=1 step=4079 pos=(481,81) vel=(-3.0,64.8) vhp=4.00 gnd=false act=FIRE fps=60
[02:06:47] [INFO ] DIAG ep=1 step=4154 pos=(481,62) vel=(-4.0,-29.8) vhp=4.00 gnd=false act=IDLE fps=47
[02:06:52] [INFO ] DIAG ep=1 step=4229 pos=(488,90) vel=(-4.0,-169.8) vhp=4.00 gnd=false act=LEFT fps=59
[02:06:57] [INFO ] DIAG ep=1 step=4304 pos=(475,57) vel=(-7.0,-53.2) vhp=4.00 gnd=false act=LEFT fps=60
[02:07:03] [INFO ] DIAG ep=1 step=4379 pos=(479,103) vel=(0.0,-145.2) vhp=4.00 gnd=false act=IDLE fps=48
[02:07:08] [INFO ] DIAG ep=1 step=4454 pos=(476,118) vel=(0.2,60.0) vhp=4.00 gnd=true act=IDLE fps=60
[02:07:13] [INFO ] DIAG ep=1 step=4529 pos=(478,92) vel=(6.9,69.7) vhp=4.00 gnd=false act=RIGHT fps=60
[02:07:18] [INFO ] DIAG ep=1 step=4604 pos=(479,120) vel=(0.0,60.0) vhp=4.00 gnd=true act=IDLE fps=49
[02:07:23] [INFO ] DIAG ep=1 step=4679 pos=(473,25) vel=(-4.0,40.8) vhp=4.00 gnd=false act=FIRE fps=57
[02:07:28] [INFO ] DIAG ep=1 step=4754 pos=(452,49) vel=(0.0,38.8) vhp=4.00 gnd=false act=FIRE fps=58
[02:07:34] [INFO ] DIAG ep=1 step=4829 pos=(456,44) vel=(0.1,74.5) vhp=4.00 gnd=false act=FIRE fps=56
[02:07:39] [INFO ] DIAG ep=1 step=4904 pos=(455,97) vel=(-29.9,60.0) vhp=4.00 gnd=true act=LEFT fps=57
[02:07:44] [INFO ] DIAG ep=1 step=4979 pos=(452,69) vel=(-10.3,-121.8) vhp=4.00 gnd=false act=LEFT fps=55
[02:07:50] [INFO ] DIAG ep=1 step=5054 pos=(453,37) vel=(3.9,33.3) vhp=4.00 gnd=false act=RIGHT fps=56
[02:07:55] [INFO ] DIAG ep=1 step=5129 pos=(445,66) vel=(4.0,-157.8) vhp=4.00 gnd=false act=JUMP fps=57
[02:08:01] [INFO ] DIAG ep=1 step=5204 pos=(450,60) vel=(-0.0,-98.5) vhp=4.00 gnd=false act=FIRE fps=55
[02:08:07] [INFO ] DIAG ep=1 step=5279 pos=(441,51) vel=(1.5,-51.8) vhp=4.00 gnd=false act=RIGHT fps=56
[02:08:12] [INFO ] DIAG ep=1 step=5354 pos=(427,66) vel=(-1.7,-146.5) vhp=4.00 gnd=false act=IDLE fps=60
[02:08:17] [INFO ] DIAG ep=1 step=5429 pos=(430,94) vel=(0.2,-156.5) vhp=4.00 gnd=false act=JUMP fps=59
[02:08:22] [INFO ] DIAG ep=1 step=5504 pos=(433,64) vel=(-1.8,-110.8) vhp=4.00 gnd=false act=IDLE fps=59
[02:08:27] [INFO ] DIAG ep=1 step=5579 pos=(434,78) vel=(0.1,198.2) vhp=4.00 gnd=false act=FIRE fps=60
[02:08:33] [INFO ] DIAG ep=1 step=5654 pos=(425,81) vel=(-4.0,-121.8) vhp=4.00 gnd=false act=FIRE fps=50
[02:08:38] [INFO ] DIAG ep=1 step=5729 pos=(435,37) vel=(0.9,-42.5) vhp=4.00 gnd=false act=JUMP fps=60
[02:08:43] [INFO ] DIAG ep=1 step=5804 pos=(423,41) vel=(3.9,40.2) vhp=4.00 gnd=false act=FIRE fps=60
[02:08:48] [INFO ] DIAG ep=1 step=5879 pos=(421,77) vel=(3.6,12.0) vhp=4.00 gnd=false act=IDLE fps=46
[02:08:53] [INFO ] DIAG ep=1 step=5954 pos=(426,106) vel=(-8.2,60.0) vhp=4.00 gnd=true act=FIRE fps=60
[02:08:58] [INFO ] DIAG ep=1 step=6029 pos=(414,65) vel=(-0.1,62.2) vhp=4.00 gnd=false act=IDLE fps=60
[02:09:03] [INFO ] DIAG ep=1 step=6104 pos=(414,90) vel=(-0.0,94.3) vhp=4.00 gnd=false act=FIRE fps=48
[02:09:08] [INFO ] DIAG ep=1 step=6179 pos=(419,88) vel=(-0.8,85.5) vhp=4.00 gnd=false act=FIRE fps=60
[02:09:13] [INFO ] DIAG ep=1 step=6254 pos=(390,92) vel=(0.0,5.8) vhp=4.00 gnd=false act=FIRE fps=60
[02:09:19] [INFO ] DIAG ep=1 step=6329 pos=(392,122) vel=(-0.1,60.0) vhp=4.00 gnd=true act=FIRE fps=46
[02:09:24] [INFO ] DIAG ep=1 step=6404 pos=(387,114) vel=(0.0,60.0) vhp=4.00 gnd=true act=IDLE fps=60
[02:09:29] [INFO ] DIAG ep=1 step=6479 pos=(389,113) vel=(-0.2,-156.5) vhp=4.00 gnd=false act=JUMP fps=60
[02:09:34] [INFO ] DIAG ep=1 step=6554 pos=(396,122) vel=(-36.2,60.0) vhp=4.00 gnd=true act=LEFT fps=60
[02:09:39] [INFO ] DIAG ep=1 step=6629 pos=(387,91) vel=(0.0,5.2) vhp=4.00 gnd=false act=FIRE fps=56
[02:09:44] [INFO ] DIAG ep=1 step=6704 pos=(377,103) vel=(-36.0,60.0) vhp=4.00 gnd=true act=LEFT fps=60
[02:09:49] [INFO ] DIAG ep=1 step=6779 pos=(362,90) vel=(5.8,75.8) vhp=4.00 gnd=false act=RIGHT fps=60
[02:09:54] [INFO ] DIAG ep=1 step=6854 pos=(367,105) vel=(9.4,60.0) vhp=4.00 gnd=true act=FIRE fps=59
[02:09:59] [INFO ] DIAG ep=1 step=6929 pos=(364,101) vel=(7.3,103.7) vhp=4.00 gnd=false act=RIGHT fps=60
[02:10:05] [INFO ] DIAG ep=1 step=7004 pos=(353,98) vel=(-4.1,47.8) vhp=4.00 gnd=false act=FIRE fps=60
[02:10:10] [INFO ] DIAG ep=1 step=7079 pos=(344,82) vel=(-1.7,-14.0) vhp=4.00 gnd=false act=JUMP fps=60
[02:10:15] [INFO ] DIAG ep=1 step=7154 pos=(347,102) vel=(-0.9,60.0) vhp=4.00 gnd=true act=FIRE fps=60
[02:10:20] [INFO ] DIAG ep=1 step=7229 pos=(344,92) vel=(11.9,74.5) vhp=4.00 gnd=false act=RIGHT fps=60
[02:10:25] [INFO ] DIAG ep=1 step=7304 pos=(323,95) vel=(-0.2,60.0) vhp=4.00 gnd=true act=IDLE fps=60
[02:10:30] [INFO ] DIAG ep=1 step=7379 pos=(310,98) vel=(-0.4,44.3) vhp=4.00 gnd=false act=JUMP fps=60
[02:10:35] [INFO ] DIAG ep=1 step=7454 pos=(281,104) vel=(-23.3,24.6) vhp=4.00 gnd=true act=LEFT fps=60
[02:10:40] [INFO ] DIAG ep=1 step=7529 pos=(278,96) vel=(-2.7,-155.9) vhp=4.00 gnd=false act=JUMP fps=57
[02:10:45] [INFO ] DIAG ep=1 step=7604 pos=(272,91) vel=(0.8,56.7) vhp=4.00 gnd=false act=FIRE fps=60
[02:10:51] [INFO ] DIAG ep=1 step=7679 pos=(275,96) vel=(-3.8,-156.5) vhp=4.00 gnd=false act=JUMP fps=60
[02:10:56] [INFO ] DIAG ep=1 step=7754 pos=(248,93) vel=(-7.1,60.0) vhp=4.00 gnd=true act=FIRE fps=60
[02:11:01] [INFO ] DIAG ep=1 step=7829 pos=(262,85) vel=(0.0,16.2) vhp=4.00 gnd=false act=IDLE fps=59
[02:11:06] [INFO ] DIAG ep=1 step=7904 pos=(258,103) vel=(0.0,46.7) vhp=4.00 gnd=false act=IDLE fps=60
[02:11:11] [INFO ] DIAG ep=1 step=7979 pos=(266,102) vel=(14.4,60.0) vhp=4.00 gnd=true act=FIRE fps=60
[02:11:16] [INFO ] DIAG ep=1 step=8054 pos=(258,103) vel=(0.0,52.0) vhp=4.00 gnd=true act=IDLE fps=60
[02:11:21] [INFO ] DIAG ep=1 step=8129 pos=(258,83) vel=(0.0,11.7) vhp=4.00 gnd=false act=IDLE fps=60
[02:11:26] [INFO ] DIAG ep=1 step=8204 pos=(267,84) vel=(0.3,-145.2) vhp=4.00 gnd=false act=LEFT fps=60
[02:11:31] [INFO ] DIAG ep=1 step=8279 pos=(258,103) vel=(0.0,60.0) vhp=4.00 gnd=false act=LEFT fps=60
[02:11:37] [INFO ] DIAG ep=1 step=8354 pos=(263,102) vel=(7.4,60.0) vhp=4.00 gnd=true act=FIRE fps=59
[02:11:42] [INFO ] DIAG ep=1 step=8429 pos=(250,85) vel=(-6.3,35.0) vhp=4.00 gnd=false act=LEFT fps=60
[02:11:47] [INFO ] DIAG ep=1 step=8504 pos=(221,92) vel=(-26.0,60.0) vhp=4.00 gnd=true act=LEFT fps=60
[02:11:52] [INFO ] DIAG ep=1 step=8579 pos=(194,103) vel=(-4.8,60.0) vhp=4.00 gnd=true act=FIRE fps=60
[02:11:57] [INFO ] DIAG ep=1 step=8654 pos=(169,113) vel=(-17.2,60.0) vhp=4.00 gnd=true act=FIRE fps=60
[02:12:02] [INFO ] DIAG ep=1 step=8729 pos=(158,124) vel=(-39.5,60.0) vhp=4.00 gnd=true act=LEFT fps=60
